,Team,League,Year,OBP,SLG,BA,Playoffs,ERA,ERA+,FIP,HR,RBIs,Ks
1231,WSA,AL,1962,0.308,0.373,0.25,0,4.04,101,4.18,132,566,771
1230,STL,NL,1962,0.335,0.394,0.271,0,3.55,121,3.81,137,707,914
1229,SFG,NL,1962,0.341,0.441,0.278,1,3.79,101,3.81,204,807,886
1228,PIT,NL,1962,0.321,0.394,0.268,0,3.37,117,3.46,108,655,897
1227,PHI,NL,1962,0.33,0.39,0.26,0,4.28,91,4.13,142,658,863
1226,NYY,AL,1962,0.337,0.426,0.267,1,3.7,102,3.85,199,791,838
1225,NYM,NL,1962,0.318,0.361,0.24,0,5.04,82,4.59,139,573,772
1224,MLN,NL,1962,0.326,0.403,0.252,0,3.68,103,3.79,181,685,802
1223,MIN,AL,1962,0.338,0.412,0.26,0,3.89,106,3.89,185,758,948
1222,LAD,NL,1962,0.337,0.4,0.268,0,3.62,101,3.39,140,781,1104
1221,LAA,AL,1962,0.325,0.38,0.25,0,3.7,105,3.85,137,667,858
1220,KCA,AL,1962,0.332,0.386,0.263,0,4.79,88,4.73,116,691,825
1219,HOU,NL,1962,0.31,0.351,0.246,0,3.83,98,3.24,105,549,1047
1218,DET,AL,1962,0.33,0.411,0.248,0,3.81,108,4.04,209,719,873
1217,CLE,AL,1962,0.312,0.388,0.245,0,4.14,93,4.41,180,644,780
1216,CIN,NL,1962,0.332,0.417,0.27,0,3.75,108,3.89,167,745,964
1215,CHW,AL,1962,0.334,0.372,0.257,0,3.73,106,3.74,92,662,821
1214,CHC,NL,1962,0.317,0.377,0.253,0,4.54,92,4.31,126,600,783
1213,BOS,AL,1962,0.324,0.403,0.258,0,4.22,98,4.18,146,671,923
1212,BAL,AL,1962,0.314,0.387,0.248,0,3.69,100,3.88,156,617,898
1211,WSA,AL,1963,0.293,0.351,0.227,0,4.42,85,4.22,138,538,744
1210,STL,NL,1963,0.326,0.403,0.271,0,3.32,107,3.29,128,697,978
1209,SFG,NL,1963,0.316,0.414,0.258,0,3.35,96,3.31,197,680,954
1208,PIT,NL,1963,0.309,0.359,0.25,0,3.1,107,3.17,108,523,900
1207,PHI,NL,1963,0.306,0.381,0.252,0,3.09,105,3.26,126,599,1052
1206,NYY,AL,1963,0.309,0.403,0.252,1,3.07,115,3.21,188,666,965
1205,NYM,NL,1963,0.285,0.315,0.219,0,4.12,84,4.04,96,459,806
1204,MLN,NL,1963,0.312,0.37,0.244,0,3.27,99,3.59,139,624,924
1203,MIN,AL,1963,0.325,0.43,0.255,0,3.28,111,3.64,225,722,941
1202,LAD,NL,1963,0.309,0.357,0.251,1,2.85,105,2.86,110,584,1095
1201,LAA,AL,1963,0.309,0.354,0.25,0,3.52,97,3.63,95,551,889
1200,KCA,AL,1963,0.313,0.353,0.247,0,3.92,101,3.85,95,582,887
1199,HOU,NL,1963,0.283,0.301,0.22,0,3.44,92,2.89,62,420,937
1198,DET,AL,1963,0.327,0.382,0.252,0,3.9,96,4.02,148,648,930
1197,CLE,AL,1963,0.301,0.381,0.239,0,3.79,96,3.68,169,592,1018
1196,CIN,NL,1963,0.31,0.371,0.246,0,3.29,101,3.05,122,608,1048
1195,CHW,AL,1963,0.323,0.365,0.25,0,2.97,118,3.06,114,648,932
1194,CHC,NL,1963,0.297,0.363,0.238,0,3.08,115,3.25,127,530,851
1193,BOS,AL,1963,0.312,0.4,0.252,0,3.97,95,3.62,171,623,1009
1192,BAL,AL,1963,0.31,0.38,0.249,0,3.45,100,3.56,146,609,913
1191,WSA,AL,1964,0.299,0.348,0.231,0,3.98,94,4.17,125,528,794
1190,STL,NL,1964,0.324,0.392,0.272,1,3.43,112,3.5,109,654,877
1189,SFG,NL,1964,0.31,0.382,0.246,0,3.19,111,3.31,165,608,1023
1188,PIT,NL,1964,0.315,0.389,0.264,0,3.52,100,3.17,121,630,951
1187,PHI,NL,1964,0.315,0.391,0.258,0,3.36,104,3.38,130,649,1009
1186,NYY,AL,1964,0.317,0.387,0.253,1,3.15,115,3.45,162,688,989
1185,NYM,NL,1964,0.296,0.348,0.246,0,4.25,84,3.86,103,527,717
1184,MLN,NL,1964,0.333,0.418,0.272,0,4.12,86,3.79,159,755,906
1183,MIN,AL,1964,0.322,0.427,0.252,0,3.58,101,3.88,221,707,1099
1182,LAD,NL,1964,0.305,0.34,0.25,0,2.95,109,2.93,79,555,1062
1181,LAA,AL,1964,0.304,0.344,0.242,0,2.91,114,3.37,102,508,965
1180,KCA,AL,1964,0.311,0.379,0.239,0,4.71,82,4.62,166,594,966
1179,HOU,NL,1964,0.285,0.315,0.229,0,3.41,101,3.17,70,452,852
1178,DET,AL,1964,0.319,0.395,0.253,0,3.84,96,3.92,157,658,993
1177,CLE,AL,1964,0.312,0.38,0.247,0,3.75,97,3.59,164,640,1162
1176,CIN,NL,1964,0.308,0.372,0.249,0,3.07,118,3.02,130,605,1122
1175,CHW,AL,1964,0.32,0.353,0.247,0,2.72,127,3.28,106,586,955
1174,CHC,NL,1964,0.314,0.39,0.251,0,4.08,92,3.79,145,609,737
