,Team,League,Year,OBP,SLG,BA,Playoffs,ERA,ERA+,FIP,HR,RBIs,Ks,RC
1231,WSA,AL,1962,0.308,0.373,0.25,0,4.04,101,4.18,132,566,771,631.9542857142857
1230,STL,NL,1962,0.335,0.394,0.271,0,3.55,121,3.81,137,707,914,737.1786294251381
1229,SFG,NL,1962,0.341,0.441,0.278,1,3.79,101,3.81,204,807,886,836.3156602847324
1228,PIT,NL,1962,0.321,0.394,0.268,0,3.37,117,3.46,108,655,897,694.4716821639898
1227,PHI,NL,1962,0.33,0.39,0.26,0,4.28,91,4.13,142,658,863,689.1838346496387
1226,NYY,AL,1962,0.337,0.426,0.267,1,3.7,102,3.85,199,791,838,807.8953114964676
1225,NYM,NL,1962,0.318,0.361,0.24,0,5.04,82,4.59,139,573,772,627.2518009168303
1224,MLN,NL,1962,0.326,0.403,0.252,0,3.68,103,3.79,181,685,802,712.6085444610035
1223,MIN,AL,1962,0.338,0.412,0.26,0,3.89,106,3.89,185,758,948,773.1951690821256
1222,LAD,NL,1962,0.337,0.4,0.268,0,3.62,101,3.39,140,781,1104,756.2361290322581
1221,LAA,AL,1962,0.325,0.38,0.25,0,3.7,105,3.85,137,667,858,677.939682019341
1220,KCA,AL,1962,0.332,0.386,0.263,0,4.79,88,4.73,116,691,825,709.6335616438356
1219,HOU,NL,1962,0.31,0.351,0.246,0,3.83,98,3.24,105,549,1047,600.0639563708478
1218,DET,AL,1962,0.33,0.411,0.248,0,3.81,108,4.04,209,719,873,735.3407565089242
1217,CLE,AL,1962,0.312,0.388,0.245,0,4.14,93,4.41,180,644,780,654.8715335783495
1216,CIN,NL,1962,0.332,0.417,0.27,0,3.75,108,3.89,167,745,964,775.1059742796679
1215,CHW,AL,1962,0.334,0.372,0.257,0,3.73,106,3.74,92,662,821,681.0979784806
1214,CHC,NL,1962,0.317,0.377,0.253,0,4.54,92,4.31,126,600,783,656.470354421994
1213,BOS,AL,1962,0.324,0.403,0.258,0,4.22,98,4.18,146,671,923,719.6399669694467
1212,BAL,AL,1962,0.314,0.387,0.248,0,3.69,100,3.88,156,617,898,664.3908773098052
1211,WSA,AL,1963,0.293,0.351,0.227,0,4.42,85,4.22,138,538,744,557.5759717314488
1210,STL,NL,1963,0.326,0.403,0.271,0,3.32,107,3.29,128,697,978,744.691329856584
1209,SFG,NL,1963,0.316,0.414,0.258,0,3.35,96,3.31,197,680,954,722.2337209302326
1208,PIT,NL,1963,0.309,0.359,0.25,0,3.1,107,3.17,108,523,900,610.3392320534224
1207,PHI,NL,1963,0.306,0.381,0.252,0,3.09,105,3.26,126,599,1052,636.4892863168551
1206,NYY,AL,1963,0.309,0.403,0.252,1,3.07,115,3.21,188,666,965,679.9626262626263
1205,NYM,NL,1963,0.285,0.315,0.219,0,4.12,84,4.04,96,459,806,471.8194372518557
1204,MLN,NL,1963,0.312,0.37,0.244,0,3.27,99,3.59,139,624,924,632.5136521595234
1203,MIN,AL,1963,0.325,0.43,0.255,0,3.28,111,3.64,225,722,941,764.2448173741362
1202,LAD,NL,1963,0.309,0.357,0.251,1,2.85,105,2.86,110,584,1095,597.4694779799354
1201,LAA,AL,1963,0.309,0.354,0.25,0,3.52,97,3.63,95,551,889,597.1148807524353
1200,KCA,AL,1963,0.313,0.353,0.247,0,3.92,101,3.85,95,582,887,607.6809428950863
1199,HOU,NL,1963,0.283,0.301,0.22,0,3.44,92,2.89,62,420,937,454.36986301369865
1198,DET,AL,1963,0.327,0.382,0.252,0,3.9,96,4.02,148,648,930,682.2094550229809
1197,CLE,AL,1963,0.301,0.381,0.239,0,3.79,96,3.68,169,592,1018,625.6192791282481
1196,CIN,NL,1963,0.31,0.371,0.246,0,3.29,101,3.05,122,608,1048,617.2638370118846
1195,CHW,AL,1963,0.323,0.365,0.25,0,2.97,118,3.06,114,648,932,644.4398749794374
1194,CHC,NL,1963,0.297,0.363,0.238,0,3.08,115,3.25,127,530,851,578.6411090193394
1193,BOS,AL,1963,0.312,0.4,0.252,0,3.97,95,3.62,171,623,1009,692.5319008264463
1192,BAL,AL,1963,0.31,0.38,0.249,0,3.45,100,3.56,146,609,913,638.8886259929018
1191,WSA,AL,1964,0.299,0.348,0.231,0,3.98,94,4.17,125,528,794,558.673434856176
1190,STL,NL,1964,0.324,0.392,0.272,1,3.43,112,3.5,109,654,877,713.0588235294117
1189,SFG,NL,1964,0.31,0.382,0.246,0,3.19,111,3.31,165,608,1023,653.3675496688742
1188,PIT,NL,1964,0.315,0.389,0.264,0,3.52,100,3.17,121,630,951,680.2318379645129
1187,PHI,NL,1964,0.315,0.391,0.258,0,3.36,104,3.38,130,649,1009,671.5894151356817
1186,NYY,AL,1964,0.317,0.387,0.253,1,3.15,115,3.45,162,688,989,695.2886746987951
1185,NYM,NL,1964,0.296,0.348,0.246,0,4.25,84,3.86,103,527,717,564.7997972630512
1184,MLN,NL,1964,0.333,0.418,0.272,0,4.12,86,3.79,159,755,906,772.2060227085733
1183,MIN,AL,1964,0.322,0.427,0.252,0,3.58,101,3.88,221,707,1099,764.0061658283304
1182,LAD,NL,1964,0.305,0.34,0.25,0,2.95,109,2.93,79,555,1062,571.0476671719724
1181,LAA,AL,1964,0.304,0.344,0.242,0,2.91,114,3.37,102,508,965,558.839046966061
1180,KCA,AL,1964,0.311,0.379,0.239,0,4.71,82,4.62,166,594,966,644.2386363636364
1179,HOU,NL,1964,0.285,0.315,0.229,0,3.41,101,3.17,70,452,852,468.0612244897959
1178,DET,AL,1964,0.319,0.395,0.253,0,3.84,96,3.92,157,658,993,690.2417910447762
1177,CLE,AL,1964,0.312,0.38,0.247,0,3.75,97,3.59,164,640,1162,658.2303785023759
1176,CIN,NL,1964,0.308,0.372,0.249,0,3.07,118,3.02,130,605,1122,632.5955466932536
1175,CHW,AL,1964,0.32,0.353,0.247,0,2.72,127,3.28,106,586,955,614.0895423756815
1174,CHC,NL,1964,0.314,0.39,0.251,0,4.08,92,3.79,145,609,737,677.0102581072138
1173,BOS,AL,1964,0.322,0.416,0.258,0,4.5,87,3.96,186,648,1094,735.4372610935682
1172,BAL,AL,1964,0.316,0.387,0.248,0,3.16,114,3.48,162,632,939,666.688
1171,WSA,AL,1965,0.304,0.35,0.228,0,3.93,88,4.15,136,563,867,568.3647375504711
1170,STL,NL,1965,0.314,0.371,0.254,0,3.77,103,3.78,109,645,916,646.0792602377807
1169,SFG,NL,1965,0.313,0.385,0.252,0,3.2,113,3.2,159,623,1060,659.1458717132808
1168,PIT,NL,1965,0.317,0.382,0.265,0,3.01,117,3.15,111,631,882,684.2342342342342
1167,PHI,NL,1965,0.313,0.384,0.25,0,3.53,98,3.16,144,608,1071,660.6612421122551
1166,NYY,AL,1965,0.299,0.364,0.235,0,3.28,104,3.38,149,576,1001,593.05672092633
1165,NYM,NL,1965,0.277,0.327,0.221,0,4.06,87,3.89,107,460,776,486.4255100291445
1164,MLN,NL,1965,0.31,0.416,0.256,0,3.52,100,3.47,196,664,966,708.196671709531
1163,MIN,AL,1965,0.324,0.399,0.254,1,3.14,114,3.81,150,711,934,705.8341608738829
1162,LAD,NL,1965,0.312,0.335,0.245,1,2.81,116,3.1,78,548,1079,560.1183031941863
1161,KCA,AL,1965,0.309,0.358,0.24,0,4.24,83,4.03,110,546,882,591.7010483598242
1160,HOU,NL,1965,0.305,0.34,0.237,0,3.84,87,3.22,97,523,931,560.3111111111111
1159,DET,AL,1965,0.312,0.374,0.238,0,3.35,105,3.42,162,634,1069,621.1847348868625
1158,CLE,AL,1965,0.315,0.379,0.25,0,3.3,107,3.17,156,615,1156,650.4560669456067
1157,CIN,NL,1965,0.339,0.439,0.273,0,3.88,97,3.51,183,776,1113,834.3457069076824
1156,CHW,AL,1965,0.315,0.364,0.246,0,2.99,106,3.3,125,587,946,626.1891757696127
1155,CHC,NL,1965,0.307,0.358,0.238,0,3.78,98,3.75,134,590,855,604.4347826086956
1154,CAL,AL,1965,0.297,0.341,0.239,0,3.17,106,3.39,92,486,847,542.7107124374677
1153,BOS,AL,1965,0.327,0.4,0.251,0,4.24,88,3.76,165,629,993,715.6293075155891
1152,BAL,AL,1965,0.307,0.363,0.238,0,2.98,116,3.39,125,596,939,604.4415454089312
1151,WSA,AL,1966,0.295,0.355,0.234,0,3.7,94,3.74,126,525,866,554.8127600554785
1150,STL,NL,1966,0.298,0.368,0.251,0,3.11,116,3.48,108,533,892,596.8614592274678
1149,SFG,NL,1966,0.303,0.392,0.248,0,3.24,115,3.27,181,627,973,652.3015286410214
1148,PIT,NL,1966,0.329,0.428,0.279,0,3.52,102,3.46,158,715,898,795.6142081894425
1147,PHI,NL,1966,0.322,0.378,0.258,0,3.57,102,3.47,117,628,928,678.9141736145169
1146,NYY,AL,1966,0.299,0.374,0.235,0,3.41,97,3.49,162,569,842,596.3140154772141
1145,NYM,NL,1966,0.301,0.342,0.239,0,4.17,88,4.15,98,534,773,546.9630393673715
1144,MIN,AL,1966,0.316,0.382,0.249,0,3.13,116,3.27,144,611,1015,646.3716754192783
1143,LAD,NL,1966,0.314,0.362,0.256,1,2.62,126,2.6,108,565,1084,613.0760887985087
1142,KCA,AL,1966,0.294,0.337,0.236,0,3.56,96,3.72,70,509,854,523.9589493825013
1141,HOU,NL,1966,0.318,0.365,0.255,0,3.76,92,3.32,112,570,929,636.211929356881
1140,DET,AL,1966,0.321,0.406,0.251,0,3.85,91,3.94,179,682,1026,713.198415318587
1139,CLE,AL,1966,0.297,0.36,0.237,0,3.23,107,3.24,155,536,1111,582.2501688048616
1138,CIN,NL,1966,0.309,0.395,0.26,0,4.08,97,3.6,149,651,1043,673.4086221470836
